timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-15 00:00:00,65661.85,65661.85,65482.57,65521.27,58.24932,1713139259999,3818812.71355750,3035,11.49023000,753165.38147390,0
2024-04-15 00:01:00,65521.27,65535.72,65448.0,65448.01,58.1363,1713139319999,3806622.42339100,2925,23.57061000,1543259.54078040,0
2024-04-15 00:02:00,65448.01,65466.86,65417.06,65463.99,41.98612,1713139379999,2747717.78836690,1608,16.31016000,1067291.22747510,0
2024-04-15 00:03:00,65464.0,65483.92,65410.2,65483.91,31.72934,1713139439999,2076432.57390840,1617,14.54218000,951720.58828300,0
2024-04-15 00:04:00,65483.9,65511.07,65428.0,65453.26,26.79,1713139499999,1753685.78083450,1633,8.66225000,567012.07944340,0
2024-04-15 00:05:00,65453.27,65463.99,65407.39,65412.3,30.26763,1713139559999,1980577.15313620,1752,13.73649000,898876.25117310,0
2024-04-15 00:06:00,65412.3,65462.82,65400.0,65418.02,26.1518,1713139619999,1711120.43553030,1737,7.57454000,495603.46821150,0
2024-04-15 00:07:00,65418.03,65477.9,65397.0,65443.99,31.40152,1713139679999,2054687.59169390,1754,14.50059000,948802.88983370,0
2024-04-15 00:08:00,65443.99,65484.0,65402.1,65483.99,43.56776,1713139739999,2850656.05154310,1530,30.93205000,2023933.08116320,0
2024-04-15 00:09:00,65483.99,65521.28,65434.89,65521.27,82.96097,1713139799999,5430875.62838880,2046,60.67754000,3971933.37305350,0
2024-04-15 00:10:00,65521.28,65756.1,65521.27,65756.09,65.27467,1713139859999,4286164.56371640,3004,38.26310000,2512445.07099610,0
2024-04-15 00:11:00,65756.09,65806.44,65736.0,65781.49,55.67167,1713139919999,3661837.50999510,2372,31.46889000,2069849.67901960,0
2024-04-15 00:12:00,65781.5,65840.0,65780.33,65804.0,58.0185,1713139979999,3817873.81197340,2222,30.72796000,2021975.98299590,0
2024-04-15 00:13:00,65804.0,65847.78,65780.66,65844.0,38.68818,1713140039999,2546386.49106010,1744,20.51680000,1350303.95960930,0
2024-04-15 00:14:00,65844.0,65867.45,65668.0,65712.77,79.52759,1713140099999,5231521.13035100,2669,27.19762000,1788634.55469500,0
2024-04-15 00:15:00,65712.78,65712.78,65551.72,65600.01,72.33228,1713140159999,4746486.83592760,2900,23.91158000,1568993.84868180,0
2024-04-15 00:16:00,65600.0,65624.0,65547.77,65623.99,34.387,1713140219999,2255191.97096060,1860,13.24490000,868684.82932250,0
2024-04-15 00:17:00,65623.99,65743.44,65623.99,65738.24,34.74647,1713140279999,2283122.67195000,1561,18.19110000,1195108.51841850,0
2024-04-15 00:18:00,65738.24,65743.03,65669.75,65686.19,27.29874,1713140339999,1793675.24503270,1994,8.99224000,590806.08324340,0
2024-04-15 00:19:00,65686.19,65699.05,65611.49,65628.0,32.92205,1713140399999,2161468.19617900,1905,11.71466000,769132.46456750,0
2024-04-15 00:20:00,65628.0,65628.0,65460.09,65480.0,48.82363,1713140459999,3198908.31639740,2916,8.96355000,587178.25342380,0
2024-04-15 00:21:00,65480.0,65505.34,65437.39,65493.92,41.85613,1713140519999,2740410.18412270,1919,17.26944000,1130601.30803420,0
2024-04-15 00:22:00,65493.92,65508.0,65457.75,65507.99,16.96033,1713140579999,1110690.05083150,1083,8.06256000,527986.85950120,0
2024-04-15 00:23:00,65507.99,65512.2,65414.1,65435.82,23.33475,1713140639999,1527545.45391910,1681,7.07568000,463195.95695430,0
2024-04-15 00:24:00,65435.83,65462.08,65380.05,65428.86,26.174,1713140699999,1712382.40296970,1635,8.87079000,580380.16662860,0
2024-04-15 00:25:00,65428.85,65432.0,65400.57,65427.98,23.67556,1713140759999,1548776.59166310,1430,6.23975000,408160.52380170,0
2024-04-15 00:26:00,65427.99,65488.0,65409.13,65488.0,24.15775,1713140819999,1580894.52004130,1457,13.20814000,864350.62623580,0
2024-04-15 00:27:00,65488.0,65508.5,65425.53,65472.0,27.93033,1713140879999,1828416.52873670,1166,7.50411000,491236.55571040,0
2024-04-15 00:28:00,65472.01,65544.24,65417.13,65533.94,25.87448,1713140939999,1694123.45474100,1290,15.84777000,1037575.93266450,0
2024-04-15 00:29:00,65533.94,65541.86,65489.36,65489.37,14.51377,1713140999999,950736.74240060,708,5.65963000,370721.96391950,0
2024-04-15 00:30:00,65489.36,65498.77,65357.0,65393.62,40.34475,1713141059999,2638893.60665870,2252,18.70058000,1223047.90979550,0
2024-04-15 00:31:00,65393.62,65522.12,65393.61,65522.11,18.69539,1713141119999,1223950.09350970,1476,15.36978000,1006258.12167630,0
2024-04-15 00:32:00,65522.11,65662.97,65522.11,65614.16,51.59274,1713141179999,3384563.64365490,2162,36.72775000,2409228.50507390,0
2024-04-15 00:33:00,65614.17,65654.74,65555.6,65603.99,36.8621,1713141239999,2418302.80265230,1758,10.52121000,690246.34258720,0
2024-04-15 00:34:00,65603.99,65720.0,65603.99,65676.09,41.91309,1713141299999,2753058.98741710,2200,29.43936000,1933635.87618480,0
2024-04-15 00:35:00,65676.09,65720.31,65521.27,65543.99,41.65717,1713141359999,2734516.58785000,2258,20.57189000,1350596.28888630,0
2024-04-15 00:36:00,65543.99,65556.0,65283.11,65308.0,89.51395,1713141419999,5850848.49167790,3877,17.48191000,1142526.14036540,0
