timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-13 00:00:00,67116.52,67116.52,67048.02,67068.0,49.16929,1712966459999,3298032.65961450,2464,16.83773000,1129400.13217340,0
2024-04-13 00:01:00,67067.99,67068.0,67045.98,67050.44,23.81093,1712966519999,1596678.13123340,1643,7.79675000,522817.68288980,0
2024-04-13 00:02:00,67050.44,67050.44,67031.89,67040.8,24.87604,1712966579999,1667803.02009670,1304,6.47572000,434115.97370630,0
2024-04-13 00:03:00,67040.81,67082.92,67024.03,67046.37,27.59223,1712966639999,1850032.14517140,1678,8.62079000,578054.86730390,0
2024-04-13 00:04:00,67046.37,67046.38,67033.21,67033.22,21.5811,1712966699999,1446717.80078490,1223,5.09035000,341238.50915180,0
2024-04-13 00:05:00,67033.21,67142.86,67033.21,67142.86,32.54793,1712966759999,2183927.10551770,1583,18.06004000,1211679.60176720,0
2024-04-13 00:06:00,67142.86,67142.86,67073.46,67077.92,31.68043,1712966819999,2126062.14190910,1953,9.11792000,611817.31381680,0
2024-04-13 00:07:00,67077.91,67100.0,67040.94,67088.14,36.52277,1712966879999,2449805.06386240,1598,14.55022000,975951.74571070,0
2024-04-13 00:08:00,67088.13,67088.14,67036.0,67036.0,23.49675,1712966939999,1575594.69910770,1382,2.89330000,194000.51078070,0
2024-04-13 00:09:00,67036.01,67047.32,67023.76,67032.01,19.44334,1712966999999,1303401.36397590,1292,4.23398000,283813.50273110,0
2024-04-13 00:10:00,67032.0,67032.01,67001.0,67021.24,22.02053,1712967059999,1475647.20127440,1082,9.39402000,629476.94029270,0
2024-04-13 00:11:00,67021.24,67064.52,67015.47,67056.01,18.04605,1712967119999,1209746.71116650,1012,12.15573000,814849.74061860,0
2024-04-13 00:12:00,67056.01,67056.01,67031.89,67039.27,13.59521,1712967179999,911497.10203920,1094,3.55589000,238382.59759270,0
2024-04-13 00:13:00,67039.27,67039.27,66950.26,66966.31,93.54147,1712967239999,6265451.60194000,2195,11.06116000,740762.15351750,0
2024-04-13 00:14:00,66966.3,66966.31,66935.48,66945.47,18.39394,1712967299999,1231428.62619110,1378,6.52177000,436606.90592490,0
2024-04-13 00:15:00,66945.47,66979.0,66932.0,66978.0,21.66841,1712967359999,1450925.27181130,2183,12.55832000,840912.46627020,0
2024-04-13 00:16:00,66978.01,66978.01,66955.18,66959.99,13.77803,1712967419999,922618.90384410,908,6.89479000,461683.60141930,0
2024-04-13 00:17:00,66960.0,66979.0,66955.18,66960.0,11.03486,1712967479999,738915.50279570,920,4.71435000,315678.32344730,0
2024-04-13 00:18:00,66960.0,66960.01,66940.24,66952.0,8.73362,1712967539999,584720.51195570,956,2.91626000,195239.78088570,0
