timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-09 00:00:00,71620.0,71628.0,71603.45,71612.02,14.39186,1712620859999,1030639.29441730,836,7.31751000,524003.80007150,0
2024-04-09 00:01:00,71612.02,71680.03,71612.02,71677.22,32.22661,1712620919999,2309030.47328180,911,27.39043000,1962517.03213920,0
2024-04-09 00:02:00,71677.23,71692.0,71664.0,71684.01,22.78811,1712620979999,1633431.91759900,742,17.37821000,1245665.82279000,0
2024-04-09 00:03:00,71684.01,71684.01,71616.0,71619.7,12.43744,1712621039999,891097.12239120,1065,2.27407000,162874.64225820,0
2024-04-09 00:04:00,71619.7,71619.7,71618.12,71618.12,8.07784,1712621099999,578520.03217150,448,7.07609000,506776.40939210,0
2024-04-09 00:05:00,71618.12,71619.99,71600.0,71619.12,27.84213,1712621159999,1993704.86670940,816,16.24282000,1163080.84760070,0
2024-04-09 00:06:00,71619.12,71619.12,71612.17,71612.18,5.36447,1712621219999,384168.07894610,432,3.50856000,251257.05684780,0
2024-04-09 00:07:00,71612.17,71674.02,71612.17,71667.74,19.02491,1712621279999,1362800.05192170,854,12.42669000,890134.49223070,0
2024-04-09 00:08:00,71667.74,71672.0,71640.44,71640.45,8.95504,1712621339999,641683.62000340,464,4.31673000,309312.65026230,0
2024-04-09 00:09:00,71640.44,71647.6,71640.44,71640.44,11.6352,1712621399999,833585.66677340,414,7.25370000,519671.73573170,0
2024-04-09 00:10:00,71640.45,71673.95,71636.0,71656.43,21.75936,1712621459999,1559203.71427490,585,17.00450000,1218539.87694090,0
2024-04-09 00:11:00,71656.43,71672.94,71650.01,71660.02,8.24045,1712621519999,590534.25610970,487,4.96888000,356076.04500330,0
2024-04-09 00:12:00,71660.02,71660.02,71652.0,71652.01,3.87202,1712621579999,277455.59018250,370,1.05027000,75258.63078990,0
2024-04-09 00:13:00,71652.0,71652.01,71652.0,71652.01,3.32515,1712621639999,238253.66101090,295,1.32109000,94658.75389090,0
2024-04-09 00:14:00,71652.01,71700.0,71652.0,71699.99,18.33248,1712621699999,1313923.49996470,574,16.20786000,1161641.95321970,0
2024-04-09 00:15:00,71699.99,71735.78,71694.82,71711.93,13.43461,1712621759999,963484.75596620,690,7.37996000,529233.79350730,0
2024-04-09 00:16:00,71711.92,71711.93,71711.92,71711.92,4.64029,1712621819999,332764.12106150,293,1.58047000,113338.55400710,0
2024-04-09 00:17:00,71711.93,71742.93,71711.92,71742.93,7.08964,1712621879999,508508.13680360,478,5.43521000,389844.12862200,0
